words,frequency
the,84
and,81
to,63
a,53
is,48
in,45
of,41
I,39
you,37
this,37
for,31
it,25
have,25
with,25
your,23
recipe,19
-,17
that,17
be,16
on,15
out,15
cook,15
just,14
or,13
my,13
can,13
&,12
do,12
i,12
but,12
delicious,11
*,11
love,11
by,11
Link,10
bio,10
don’t,10
chicken,10
are,10
some,10
what,10
all,10
will,10
mutton,10
try,9
an,9
also,9
not,9
more,9
Dhawan,8
from,8
#sanjyotkeer,8
me,8
used,8
#foodstagram,8
dad,8
#foodporn,8
they,8
Mehak,8
he,8
#streetfood,8
one,8
now,8
#foodie,8
#indianfood,7
updatesYouTube,7
so,7
Foodiesince96,7
The,7
at,7
Snapchat,7
@foodiesince96,7
as,7
sheera,7
💫💫,7
home,6
This,6
1,6
#foodiesince96..Follow,6
chaap,6
always,6
Makhani,6
pineapple,6
has,6
know,6
Chef,6
different,6
#foodphotography,6
over,6
made,6
At,6
lot,6
could,6
coffee,6
You,6
into,5
if,5
#hungry,5
where,5
Sunday,5
which,5
until,5
food,5
garlic,5
masala,5
#indiancuisine,5
#instafood,5
butter,5
we,5
really,5
Do,5
perfect,5
make,5
#foodblogger,5
#nomnom,5
got,5
fresh,5
paneer,5
"it,",5
pakora,4
#mumbaifoodie,4
added,4
been,4
it’s,4
flavor,4
look,4
way,4
family,4
taste,4
top,4
mom,4
when,4
#eeeeeats,4
get,4
That’s,4
its,4
Facebook,4
#foodgasm,4
then,4
#feedfeed,4
#delhigram,4
time,4
how,4
own,4
Masala,4
lemon,4
Paneer,4
makes,4
2,4
#foodies,3
does,3
great,3
first,3
#foodiesofinstagram,3
tastes,3
#delhifoodie,3
Your,3
because,3
must,3
#ilovefood,3
pepper,3
#eatingforinsta,3
something,3
soy,3
use,3
3,3
eat,3
#newdelhi,3
breakfast,3
#gurgaon,3
would,3
little,3
#dilsefoodie,3
learn,3
want,3
vegetarian,3
most,3
cooking,3
absolutely,3
#delicious,3
Wala,3
Recipe,3
Best,3
missed,3
#buzzfeast,3
#foodoftheday,3
wonder,3
sauce,3
It’s,3
#yummy,3
good,3
order,3
#reelkarofeelkaro,3
making,3
mood,3
#delhi_igers,3
Add,3
restaurants,3
#instadaily,3
celebrate,3
❤️,3
crispy,3
enjoy,3
#like4like,3
our,3
cooked,3
#foodiesince96,3
that.,3
everything,2
👆,2
P.s.,2
naan,2
bought,2
ingredients,2
Mutton,2
fillings,2
#delhi,2
Chaat,2
very,2
YouTube!!!,2
homemade,2
versions,2
compare,2
Corn,2
"delicious,",2
Chaap,2
years,2
Hai,2
who,2
"anything,",2
flavour,2
tablespoons,2
He,2
#f52grams,2
#comfortfood,2
#soyachaap,2
teaspoon,2
#india,2
Chicken,2
Early,2
#homecookedfood,2
acing,2
From,2
Tandoori,2
definitely,2
New,2
#pakora,2
Finally,2
brewed,2
take,2
Taste,2
soon,2
"sheera,",2
Off,2
chocolate,2
subtle,2
adjusting,2
tasted,2
Matunga,2
flavors,2
odd,2
#instafoodie,2
coarsely,2
"topping,",2
having,2
incredible!,2
"heat,",2
YFL!,2
never,2
things,2
tablespoon,2
minutes.,2
lunch-brunch,2
Bubble,2
Mexican,2
she,2
us,2
After,2
olive,2
ensure,2
#chefmode,2
deep,2
#foodgasms,2
#mumbaistreetfood,2
Delhi,2
muffin,2
@sanjyotkeer,2
ti,2
"spices,",2
"Ramashray,",2
timings,2
⬆️,2
PLEASE😋),2
together.,2
amazing!,2
sugar,2
"chaap,",2
bake,2
kids,2
yours,2
#sheera,2
shared,2
NO,2
traditional,2
🤗🤗),2
tariwala,2
after,2
give,2
check,2
oil,2
awesome.,2
#feastgram,2
out!,2
specially,2
Punjabi,2
much,2
stir-fry,2
turns,2
Following,2
dedicated,2
comes,2
capable,2
soon!,2
close,2
Coffee,2
felt,2
awesome,2
#lifestyleblogger,2
"before,",2
gravy,2
Thank,2
recipes.,2
syrups,2
pull,2
#eatfamous,2
tandoori,2
sesame,2
favourite,2
#foodbloggers,2
both,2
regular,2
Chole,2
up,2
guns,2
garam,2
only,2
Cheers!,2
idlis,2
lockdown.,2
masaledar,2
like,2
😍😍😍,2
detailed,2
preparation.,2
caramalised,2
dad’s,2
#eatlocal,2
